"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1896864342240571419","Tue Mar 04 23:09:53 +0000 2025","0","@rizkidwika Buang sampah sembarangan juga merupakan salah satu penyebab banjir tapi kalo dibandingin sama pembangunan tanpa adanya AMDAL ya jauh...","1897061968592413014","","rizkidwika","in","Kota Raja","0","0","0","https://x.com/dah_brooo/status/1897061968592413014","773221141","dah_brooo"
"1897003175355539732","Tue Mar 04 23:09:46 +0000 2025","0","@Pai_C1 lah banjir itu ya","1897061940008296511","","Pai_C1","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/galauvibes__/status/1897061940008296511","4900294679","galauvibes__"
"1897061924229276156","Tue Mar 04 23:09:43 +0000 2025","95","Selamat pagi semuanya selamat menjalani aktivitas dan semoga daerah teman-teman yang terdampak banjir segera surut. ","1897061924229276156","","","in","Jambi","0","3","2","https://x.com/InterindahFC/status/1897061924229276156","1210941490651774976","InterindahFC"
"1897061886707032466","Tue Mar 04 23:09:34 +0000 2025","0","Gak ya w millenial beli cash cari cluster daerah yang tinggi meski pricey dan alhamdulillah aman dari banjir.","1897061886707032466","","","in","UT060592","0","0","0","https://x.com/aggnusehsey/status/1897061886707032466","91464739","aggnusehsey"
"1897059109415145903","Tue Mar 04 23:09:30 +0000 2025","0","@salsatrash Banjir tidak jdi penghalang buat nyari rezeki yaa","1897061870630318544","","salsatrash","in","","0","0","0","https://x.com/ikkobalejusto/status/1897061870630318544","1738775768711512064","ikkobalejusto"
"1896998748565479493","Tue Mar 04 23:09:19 +0000 2025","0","@yungnikiii Sebenernya entah responsibility dari pempus/pemda harusnya banjir tiap 5 tahun ini jadi concern buat mereka. Cuma malah jadi kayak angin lalu. Harusnya dari banjir 2020 pemerintah bisa diskusi dan kerja sama dengan pemda setempat untuk bisa mengurangi banjir 5 tahunan ini","1897061826250330354","","yungnikiii","in","","0","1","0","https://x.com/failimac/status/1897061826250330354","1243862317680316416","failimac"
"1896900094550737293","Tue Mar 04 23:09:18 +0000 2025","3","@qrivasi ini pasti gak tau kalo penyebab banjir bukan cuma sampah dan hujan tapi daerah aliran sungai yang udah gak sesuai fungsinya. kalo DAS udah rusak dari hulu ke hilir sungai banyak dijadiin villa &amp; pemukiman ya wajar aja ngatain pemerintah. tata letak kota begini salah siapa? https://t.co/whhjeqszOE","1897061822760649043","https://pbs.twimg.com/media/GlO3rITbUAABMh9.jpg","qrivasi","in","","0","0","0","https://x.com/THXFORTRAGEDY/status/1897061822760649043","1796351370746044416","THXFORTRAGEDY"
"1896851618362184105","Tue Mar 04 23:09:14 +0000 2025","0","@BudiBukanIntel @pejunain Tidak ada fitnah. Saya hanya elaborasi twt Anda. Tanpa konteks jelas justru terkesan buruk. Sengaja? Semoga tidak. Krn skrg warga terdampak banjir butuh bantuan siapa pun tanpa lihat jabatan. Jika niat baik dipermasalahkan mungkin Anda lebih nyaman julid daripada berbuat sesuatu","1897061805400449076","","BudiBukanIntel","in","barudak pasming","0","0","0","https://x.com/sipaling_pp/status/1897061805400449076","1334802552093732866","sipaling_pp"
"1897053995522531352","Tue Mar 04 23:05:09 +0000 2025","0","@anakdotunpad Banyak banget wilayah terendam banjir","1897060777208791371","","anakdotunpad","in","Sumatera Barat, Indonesia","0","0","0","https://x.com/1slamic_Diaries/status/1897060777208791371","1769961688626085888","1slamic_Diaries"
"1896918227122524502","Tue Mar 04 23:05:00 +0000 2025","0","@Sosmedrecehh Gmna kaga banjir somplak lagian klo Mao buat projek itu mikirin ke sekitar dan kedepannya kont... kbnykan orang punya duit klo buat projek ga mikirin dampak dampak ke masyarakat yg penting cuan anehh emang","1897060740303086025","","Sosmedrecehh","in","","0","0","0","https://x.com/Oxhiizaaa/status/1897060740303086025","1649778431507468289","Oxhiizaaa"
